rank,window_index,window_id,nei_warriner,nei_nrc,norm_warriner,norm_nrc,center_sentence,full_window_text
1,148,149,5.371106276,2.833590211,0.762408333,0.555784027,"But the others didn’t know what was happening, they were worried, that would excuse their behaviour.","And it seemed to Gregor much more sensible to leave him now in peace instead of disturbing him with talking at him and crying. But the others didn’t know what was happening, they were worried, that would excuse their behaviour. The chief clerk now raised his voice, “Mr. Samsa”, he called to him, “what is wrong?"
2,149,150,5.948194555,2.731369962,0.844323844,0.535734416,"The chief clerk now raised his voice, “Mr. Samsa”, he called to him, “what is wrong?","But the others didn’t know what was happening, they were worried, that would excuse their behaviour. The chief clerk now raised his voice, “Mr. Samsa”, he called to him, “what is wrong? You barricade yourself in your room, give us no more than yes or no for an answer, you are causing serious and unnecessary concern to your parents and you fail—and I mention this just by the way—you fail to carry out your business duties in a way that is quite unheard of."
3,166,167,6.727636062,5.09836568,0.954962634,1,"It’s shocking, what can suddenly happen to a person!","I’m quite alright now, though. It’s shocking, what can suddenly happen to a person! I was quite alright last night, my parents know about it, perhaps better than me, I had a small symptom of it last night already."
4,167,168,6.45296604,5.081105373,0.915974258,0.996614541,"I was quite alright last night, my parents know about it, perhaps better than me, I had a small symptom of it last night already.","It’s shocking, what can suddenly happen to a person! I was quite alright last night, my parents know about it, perhaps better than me, I had a small symptom of it last night already. They must have noticed it."
5,170,171,5.601443765,4.227382804,0.795103874,0.829164299,But you always think you can get over an illness without staying at home.,"I don’t know why I didn’t let you know at work! But you always think you can get over an illness without staying at home. Please, don’t make my parents suffer!"
6,171,172,5.652775294,3.880702321,0.802390191,0.761165943,"Please, don’t make my parents suffer!","But you always think you can get over an illness without staying at home. Please, don’t make my parents suffer! There’s no basis for any of the accusations you’re making; nobody’s ever said a word to me about any of these things."
7,172,173,5.537863586,3.723675367,0.786078907,0.730366474,There’s no basis for any of the accusations you’re making; nobody’s ever said a word to me about any of these things.,"Please, don’t make my parents suffer! There’s no basis for any of the accusations you’re making; nobody’s ever said a word to me about any of these things. Maybe you haven’t read the latest contracts I sent in."
8,236,237,4.698800088,4.193118863,0.666976999,0.822443725,"Please don’t make things any harder for me than they are already, and don’t take sides against me at the office.","You’re well aware that I’m seriously in debt to our employer as well as having to look after my parents and my sister, so that I’m trapped in a difficult situation, but I will work my way out of it again. Please don’t make things any harder for me than they are already, and don’t take sides against me at the office. I know that nobody likes the travellers."
9,237,238,5.267421578,4.509062467,0.747690681,0.88441331,I know that nobody likes the travellers.,"Please don’t make things any harder for me than they are already, and don’t take sides against me at the office. I know that nobody likes the travellers. They think we earn an enormous wage as well as having a soft time of it."
10,238,239,5.262558782,4.6679863,0.747000425,0.915584835,They think we earn an enormous wage as well as having a soft time of it.,I know that nobody likes the travellers. They think we earn an enormous wage as well as having a soft time of it. That’s just prejudice
11,239,240,5.334229342,4.737659389,0.757173791,0.929250604,That’s just prejudice,They think we earn an enormous wage as well as having a soft time of it. That’s just prejudice but they have no particular reason to think better of it.
12,240,241,5.127220919,4.862404661,0.727789724,0.953718302,but they have no particular reason to think better of it.,"That’s just prejudice but they have no particular reason to think better of it. But you, sir, you have a better overview than the rest of the staff, in fact, if I can say this in confidence, a better overview than the boss himself—it’s very easy for a businessman like him to make mistakes about his employees and judge them more harshly than he should."
